,築年数,賃料,占有面積
27,42.0,7.0,22.0
28,41.0,7.0,22.0
29,35.0,7.0,14.36
30,48.0,5.9,24.0
31,31.0,5.6,11.01
32,41.0,7.5,21.84
33,28.0,7.1,17.79
34,32.0,10.0,22.88
35,40.0,11.0,19.88
36,29.0,6.8,25.01
37,47.0,9.8,28.59
38,35.0,5.4,12.75
39,35.0,6.6,13.5
40,38.0,6.1,7.58
41,39.0,4.9,13.5
42,36.0,6.5,17.23
43,27.0,8.0,19.5
44,53.0,6.3,16.9
45,37.0,6.9,27.0
46,40.0,7.4,24.59
47,47.0,3.6,8.0
48,37.0,6.0,17.47
49,42.0,7.0,20.1
0,40.0,5.7,13.0
1,34.0,5.2,13.25
2,38.0,7.8,24.36
3,51.0,7.9,19.98
4,37.0,6.5,21.71
5,40.0,7.4,24.59
6,11.0,10.7,20.88
7,12.0,11.0,24.41
8,12.0,9.9,23.37
9,55.0,3.8,6.48
10,0.0,10.5,25.43
11,11.0,7.9,20.52
12,2.0,10.85,25.39
13,3.0,9.6,25.69
14,0.0,10.0,25.28
15,3.0,10.8,27.42
16,5.0,10.9,26.5
17,5.0,10.9,26.5
18,0.0,11.5,30.37
19,12.0,11.1,24.48
20,6.0,11.1,25.62
21,4.0,10.95,25.81
22,12.0,9.4,23.58
23,5.0,11.3,30.27
24,2.0,11.3,30.12
25,12.0,9.2,23.48
26,12.0,9.8,23.66
27,10.0,9.6,20.54
28,9.0,9.6,20.54
29,3.0,11.8,25.71
30,3.0,11.8,25.71
31,11.0,8.1,21.9
32,6.0,9.3,27.0
33,7.0,9.2,25.23
34,3.0,8.8,25.06
35,14.0,10.8,25.11
36,14.0,10.8,25.11
37,12.0,8.0,20.72
38,12.0,8.7,20.72
39,11.0,8.8,22.29
40,12.0,7.5,20.46
41,11.0,8.7,22.12
42,8.0,8.4,25.47
43,8.0,8.4,25.47
44,6.0,8.7,25.44
45,5.0,8.65,25.52
46,14.0,11.0,24.81
47,51.0,9.5,31.38
48,6.0,8.5,25.95
49,10.0,8.5,21.62
0,10.0,8.5,21.62
1,12.0,8.2,20.48
2,12.0,8.1,23.3
3,15.0,7.65,20.44
4,13.0,8.8,23.24
5,0.0,14.1,30.37
6,15.0,9.4,21.65
