,階,賃料,占有面積
47,2.0,10.5,25.43
48,4.0,10.9,25.43
49,4.0,9.9,25.07
0,4.0,11.0,22.91
1,6.0,11.0,22.91
2,2.0,9.7,25.36
3,2.0,9.0,25.81
4,5.0,9.4,23.52
5,4.0,9.1,19.91
6,3.0,12.6,32.15
7,3.0,12.6,32.15
8,5.0,9.4,23.52
9,7.0,9.8,22.72
10,2.0,8.8,21.0
11,6.0,8.0,19.86
12,7.0,11.5,25.04
13,3.0,8.2,21.39
14,2.0,7.9,20.25
15,2.0,7.9,20.25
16,3.0,7.1,18.62
17,2.0,8.5,20.05
18,12.0,7.65,13.39
19,2.0,15.8,41.65
20,2.0,15.8,41.65
21,4.0,7.5,20.15
22,4.0,11.0,23.4
23,5.0,8.0,20.06
24,2.0,7.4,21.14
25,5.0,7.0,20.21
26,2.0,7.4,21.98
27,5.0,5.8,15.25
28,5.0,5.7,18.81
29,3.0,6.9,18.27
30,2.0,7.5,19.74
31,3.0,11.0,31.97
32,7.0,7.44,19.3
33,5.0,9.0,20.86
34,8.0,8.5,23.73
35,3.0,7.5,22.0
36,8.0,7.2,20.87
37,8.0,7.2,20.87
38,2.0,7.8,20.92
39,2.0,7.8,20.92
40,3.0,6.2,16.24
41,2.0,6.9,20.78
42,6.0,8.2,22.08
43,2.0,5.7,16.11
44,2.0,7.3,19.3
45,4.0,7.5,19.3
46,7.0,8.6,26.11
47,4.0,7.9,18.87
48,2.0,8.2,25.8
49,2.0,8.2,25.8
