date,date,ave_t,max_t,min_t
1990-03-01,1990-03-01,10.6,14.4,7.0
1990-04-01,1990-04-01,14.7,18.6,10.8
1990-05-01,1990-05-01,19.2,23.1,15.8
1990-06-01,1990-06-01,23.5,27.0,20.8
1990-07-01,1990-07-01,25.7,29.2,22.8
1990-08-01,1990-08-01,28.6,32.4,25.7
1990-09-01,1990-09-01,24.8,28.1,21.9
1990-10-01,1990-10-01,19.2,22.4,16.0
1990-11-01,1990-11-01,15.1,19.0,11.4
1990-12-01,1990-12-01,10.0,13.6,6.3
1991-01-01,1991-01-01,6.3,10.1,2.8
1991-02-01,1991-02-01,6.5,10.5,2.5
1991-03-01,1991-03-01,9.5,13.1,6.2
1991-04-01,1991-04-01,15.4,18.8,11.9
1991-05-01,1991-05-01,18.8,22.7,15.2
1991-06-01,1991-06-01,23.6,26.9,20.8
1991-07-01,1991-07-01,26.7,30.1,23.5
1991-08-01,1991-08-01,25.5,29.1,22.6
1991-09-01,1991-09-01,23.9,26.9,21.4
1991-10-01,1991-10-01,18.1,20.7,15.9
1991-11-01,1991-11-01,13.0,16.4,9.9
1991-12-01,1991-12-01,9.2,12.7,5.7
1992-01-01,1992-01-01,6.8,10.5,3.2
1992-02-01,1992-02-01,6.9,10.8,3.1
1992-03-01,1992-03-01,9.7,13.1,6.5
1992-04-01,1992-04-01,15.1,19.1,11.1
1992-05-01,1992-05-01,17.3,21.1,13.8
1992-06-01,1992-06-01,20.6,23.7,17.8
1992-07-01,1992-07-01,25.5,29.2,22.4
1992-08-01,1992-08-01,27.0,30.4,24.3
1992-09-01,1992-09-01,23.3,26.9,20.3
1992-10-01,1992-10-01,17.3,20.5,14.3
1992-11-01,1992-11-01,13.0,16.9,9.6
1992-12-01,1992-12-01,9.4,12.9,6.1
1993-01-01,1993-01-01,6.2,9.1,3.3
1993-02-01,1993-02-01,7.7,11.8,3.8
1993-03-01,1993-03-01,8.7,12.5,5.0
1993-04-01,1993-04-01,13.4,17.8,9.1
1993-05-01,1993-05-01,18.1,22.3,14.2
1993-06-01,1993-06-01,21.7,25.0,19.0
